Order_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,State,City,Area,Pincode,Order_Date,Delivery_Date,Product_ID,Product_Name,Category,Sub_Category,Brand,Item_Weight,Item_MRP,Selling_Price,Discount_Percentage,Quantity,Total_Amount,Payment_Method,Delivery_Status,Delivery_Time_Minutes,Customer_Rating,Feedback,Stock_Availability,Order_Status
ORD104610,CUST9734,Frederick Gara,62,Other,Telangana,Hyderabad,Madhapur,356477,15-07-2025,15-07-2025,P205,Cake,Bakery,Bakery,Monginis,4.05,385,354,8,2,708,UPI,Delivered,36,4,Average,In Stock,Delivered
ORD101583,CUST8117,Frado Kumar,64,Other,Tamil Nadu,Chennai,Anna Nagar,710156,20-02-2025,23-02-2025,P912,Rice,Grocery,Grocery,India Gate,2.59,372,260,30,3,779,UPI,Cancelled,45,5,Damaged item,Limited,Returned
ORD104073,null,Omkaar Kata,58,Female,Gujarat,Unknown,Navrangpura,460904,29-05-2024,30-05-2024,P515,Paneer,Dairy,Dairy,Mother Dairy,4.2,406,323,34,4,1488,Unknown,Pending,61,5,Average,Limited,Pending
ORD100997,CUST6972,Raghav Nayak,78,Male,Delhi,New Delhi,Saket,382181,21-10-2024,23-10-2024,P305,Rice,Grocery,Grocery,India Gate,4.79,34,30,11,1,30,UPI,Pending,56,5,Good,Out of Stock,Pending
ORD104158,CUST7927,Vedhika Sami,75,Male,Delhi,New Delhi,Rohini,144141,18-02-2024,22-02-2024,P926,Rice,Grocery,Grocery,India Gate,4.06,525,412,21,1,412,GOOGLE PAY,Delivered,60,4,Average,Out of Stock,Returned
ORD102133,CUST9225,Ridhi Ahluwalia,36,Other,maharashtra,New Delhi,Rohini,330829,08-10-2025,08-12-2025,P666,Frozen Peas,Frozen Food,Frozen Food,Safal,2.55,429,425,1,8,3396,GOOGLE PAY,Cancelled,50,4,Late delivery,In Stock,Pending
ORD100929,CUST9847,Kamya Soni,27,Other,Karnataka,Mysore,VV Mohalla,446348,10-08-2025,12-10-2025,P967,Chips,Snacks,Snacks, Lay's ,3.31,513,376,27,1,376,Debit Card,Delivered,90,2,Average,In Stock,Returned
ORD101267,CUST5490,Liam Ghosh,18,Male,Delhi,New Delhi,Saket,688009,01-02-2025,01-02-2025,P887,Paneer,Dairy,Dairy,Mother Dairy,0.17,147,92,37,6,554,GOOGLE PAY,Returned,59,5,Average,In Stock,Returned
ORD101069,CUST6333,Daksh Seshadri,33,Female,Gujarat,Ahmedabad,Navrangpura,262837,20-09-2025,24-09-2025,P859,Ice Cream,Frozen Food,Frozen Food, Amul ,4.87,538,390,27,5,1949,CASH,Delivered,47,4,Average,Limited,Cancelled
ORD102284,CUST6680,Jagdish Pillai,67,Other,Karnataka,Mysore,VV Mohalla,901767,29-10-2024,31-10-2024,P437,Rice,Grocery,Grocery,India Gate,2.72,608,433,29,4,1733,UPI,Pending,891,2,Damaged item,Limited,Returned
ORD103511,CUST8300, Jalsa Chaudhari ,29,Male,Tamil Nadu,Coimbatore,Peelamedu,569333,27-05-2024,30-05-2024,P978,Ice Cream,Frozen Food,Frozen Food,Amul,2.3,180,117,35,2,235,GOOGLE PAY,Delivered,39,4,Excellent,In Stock,Pending
ORD101656,CUST1753,Fitan Ahluwalia,38,Other,West Bengal,Kolkata,Howrah,50134,03-01-2025,04-01-2025,P729,Milk,Dairy,Dairy,Amul,1.41,420,284,32,7,1987,CASH,Returned,54,4,Average,In Stock,Returned
ORD100832,CUST1810,Ikbal Pandya,56,Male,Maharashtra,Pune,Wakad,613458,31-12-2025,04-01-2026,P133,Chips,Snacks,Snacks,Lay's,4.7,61,38,38,7,267,UPI,Cancelled,83,1,Late delivery,In Stock,Returned
ORD101091,CUST9014,Nandini Khatri,63,Other,Karnataka,Bangalore,Whitefield,268749,01-02-2024,04-01-2024,P397,Soft Drink,Beverages,Beverages,Coca-Cola,0.71,383,268,30,1,268,GOOGLE PAY,Cancelled,71,3,Good,Limited,Pending
ORD102462,CUST2148,Qasim Varughese,54,Other,Delhi,PUNE,Dwarka,639591,28-05-2024,28-05-2024,P213,Rice,Grocery,Grocery,India Gate,2.22,283,235,17,6,1407,GOOGLE PAY,Cancelled,42,4,Average,In Stock,Delivered
ORD101735,CUST6200,Sachi Sama,59,Other,West Bengal,Kolkata,Howrah,911398,22-03-2025,26-03-2025,P607,Juice,Beverages,Beverages,Real,2.18,714,499,30,2,998,GOOGLE PAY,Returned,22,2,Average,Out of Stock,Pending
ORD100093,CUST8353, Ishanvi Bala ,26,Other,maharashtra,Mumbai,Bandra,676090,02-02-2025,02-04-2025,P517,Frozen Peas,Frozen Food,Frozen Food,Safal,0.61,103,62,40,6,372,UPI,Cancelled,63,1,Average,Limited,Cancelled
ORD103401,CUST3084,Balhaar Naik,26,Female,maharashtra,Ahmedabad,Navrangpura,979768,30-09-2024,10-03-2024,P122,Namkeen,Snacks,Snacks,Haldiram,0.9,793,632,20,6,3789,CASH,Returned,20,1,Damaged item,Out of Stock,Cancelled
ORD104044,CUST3301,Tara Borde,41,Other,Karnataka,Bangalore,Koramangala,239844,26-01-2025,30-01-2025,P541,Detergent,Household Items,Household Items,Surf Excel,0.73,96,82,14,7,576,UPI,Returned,64,4,Average,In Stock,Returned
ORD102082,CUST8098,Dayamai Dhingra,73,Male,Telangana,Hyderabad,Gachibowli,172673,11-07-2024,11-07-2024,P758,Juice,Beverages,Beverages,Real,4.85,463,420,9,5,2099,UPI,Delivered,78,1,Average,Out of Stock,Delivered
ORD101185,null, Sanya Varkey ,68,Female,Maharashtra,PUNE, Wakad ,638500,06-12-2024,09-12-2024,P690,Sugar,Grocery,Grocery,Madhur,3.64,406,323,21,1,1488,Unknown,Pending,90,4,Average,In Stock,Pending
ORD103879,CUST9305,Baghyawati Kant,36,Female,Gujarat,Surat,Vesu,605495,12-05-2025,12-09-2025,P546,Tea,Beverages,Beverages,Tata Tea,3.02,65,64,2,8,514,CASH,Pending,42,4,Average,In Stock,Returned
ORD101056,CUST4214,Yashvi Mahajan,24,Male,Karnataka,pune, Gokulam ,489925,05-10-2025,09-10-2025,P795,Juice,Beverages,Beverages,Real,2.17,334,305,9,5,1525,GPAY,Delivered,27,2,Average,In Stock,Returned
ORD101269,CUST9743,Hema Chatterjee,45,Female,Karnataka,Mysore,VV Mohalla,604597,12-11-2025,16-11-2025,P870,Juice,Beverages,Beverages,Real,2.01,246,183,26,1,183,UPI,Cancelled,32,1,Good,Out of Stock,Cancelled
ORD102000,null,Arin Nagy,88,Female,Maharashtra,Unknown,Andheri,135942,10-09-2025,14-09-2025,P396,Curd,Dairy,Dairy,Britannia,0.82,406,323,14,2,1488,Unknown,Pending,9,2,Average,In Stock,Pending
ORD100869,CUST7491,Jackson Kapoor,35,Other,Delhi,New Delhi,Rohini,717376,08-11-2024,11-11-2024,P655,Frozen Peas,Frozen Food,Frozen Food,Safal,3.79,595,427,28,7,2988,Debit Card,Cancelled,14,3,Damaged item,Out of Stock,Pending
ORD103260,CUST7213,Robert Ramachandran,70,Male,Gujarat,Surat, Vesu ,877043,03-11-2024,06-11-2024,P276,Juice,Beverages,Beverages,Real,0.4,309,222,28,8,1774,GPAY,Delivered,84,2,Good,Out of Stock,Delivered
ORD101206,CUST2270,Ira Malhotra,21,Female,Karnataka,Bangalore,Whitefield,677703,19-03-2024,20-03-2024,P455,Namkeen,Snacks,Snacks,Haldiram,3.15,403,379,6,1,379,CASH,Cancelled,61,4,Damaged item,In Stock,Cancelled
ORD101777,CUST4858,Wahab Khurana,67,Other,Gujarat,Surat,Vesu,125599,06-05-2025,05-09-2025,P595,Cleaner,Household Items,Household Items,Lizol,0.5,499,308,38,4,1230,CASH,Delivered,69,1,Late delivery,In Stock,Pending
ORD100023,CUST8532,Reyansh Lanka,24,Other,Maharashtra,pune,Sitabuldi,642644,12-02-2024,14-02-2024,P280,Apple,Fruits & Vegetables,Fruits & Vegetables,Kashmir Fresh,3.7,536,336,37,7,2370,CASH ON DELIVERY,Cancelled,54,5,Average,Out of Stock,Returned
ORD102993,CUST1774,Chandani Deep,75,Male,Tamil Nadu,Chennai, Velachery ,971667,26-01-2024,27-01-2024,P494,Tea,Beverages,Beverages,Tata Tea,0.11,159,147,7,5,735,Debit Card,Pending,21,5,Good,Limited,Pending
ORD100885,CUST5120,Baljiwan Parikh,51,Other,Karnataka,Mysore,Gokulam,927010,28-12-2025,31-12-2025,P435,Ice Cream,Frozen Food,Frozen Food,Amul,1.08,497,372,25,8,2837,CASH,Pending,74,1,Late delivery,In Stock,Returned
ORD102441,CUST2103,Bhanumati Sarkar,61,Female,Karnataka,Bangalore,Whitefield,691089,23-01-2024,27-01-2024,P583,Cleaner,Household Items,Household Items,Lizol,0.34,425,268,37,8,2144,CASH,Returned,70,4,Average,Limited,Cancelled
ORD103885,CUST8348,Raksha Zachariah,73,Male,Telangana,Hyderabad,Banjara Hills,350848,23-10-2025,26-10-2025,P799,Paneer,Dairy,Dairy,Mother Dairy,1.92,104,77,26,8,615,GOOGLE PAY,Delivered,62,3,Damaged item,Out of Stock,Returned
ORD100021,CUST9837,Ronith Vasa,71,Male,Karnataka,Bangalore,Indiranagar,826545,04-08-2024,07-08-2024,P765,Ice Cream,Frozen Food,Frozen Food,Amul,0.44,283,270,5,6,1618,CASH ON DELIVERY,Delivered,10,2,Late delivery,In Stock,Pending
ORD104900,CUST4247,Harinakshi Naidu,33,Other,Gujarat,Surat,Adajan,492847,11-10-2025,15-10-2025,P373,Namkeen,Snacks,Snacks,Haldiram,3.04,432,273,37,3,819,Debit Card,Delivered,61,2,Damaged item,In Stock,Returned
ORD104616,CUST1058,Chameli Sood,25,Male,West Bengal,Kolkata, Howrah ,837798,30-08-2025,30-08-2025,P605,Rice,Grocery,Grocery,India Gate,0.7,334,262,22,3,785,GOOGLE PAY,Returned,47,5,Late delivery,Out of Stock,Returned
ORD100439,CUST9844,Lavanya Vasa,19,Other,Tamil Nadu,Chennai,T Nagar,352037,12-09-2025,12-09-2025,P600,Soft Drink,Beverages,Beverages,Coca-Cola,4.18,540,354,34,4,1417,UPI,Cancelled,13,3,Average,Out of Stock,Returned
ORD104618,CUST7846,Harshil Brahmbhatt,57,Male,Delhi,New Delhi,Rohini,497409,26-06-2024,29-06-2024,P455,Milk,Dairy,Dairy,Amul,0.42,614,378,39,5,1889,UPI,Pending,54,2,Damaged item,Out of Stock,Pending
ORD100111,CUST2195,Luke Jain,61,Male,Tamil Nadu,Chennai,T Nagar,704791,24-06-2025,24-06-2025,P114,Bread,Bakery,Bakery,Britannia,1.38,748,489,35,6,2932,UPI,Delivered,68,5,Excellent,Limited,Returned
ORD100500,CUST6373,Damyanti Padmanabhan,35,Female,Telangana,Hyderabad,Gachibowli,946465,08-07-2024,07-10-2024,P248,Atta,Grocery,Grocery,Aashirvaad,2.94,574,451,22,6,2704,Debit Card,Delivered,24,4,Average,In Stock,Pending
ORD100981,CUST3284,Wridesh Sridhar,75,Male,Tamil Nadu,Chennai,T Nagar,699146,15-04-2024,18-04-2024,P897,Cake,Bakery,Bakery,Monginis,1.45,645,515,20,4,2061,Debit Card,Delivered,75,3,Late delivery,Limited,Returned
ORD101182,CUST6402,Yochana Sur,49,Male,Telangana,Hyderabad,Gachibowli,70257,04-06-2025,07-04-2025,P827,Tea,Beverages,Beverages,Tata Tea,1.85,484,300,38,5,1502,GOOGLE PAY,Cancelled,62,4,Good,In Stock,Delivered
ORD101240,CUST3408,Laksh Guha,53,Female,Gujarat,Surat,Adajan,546533,16-11-2025,19-11-2025,P442,Atta,Grocery,Grocery,Aashirvaad,4.66,456,427,6,5,2135,UPI,Delivered,23,3,Average,Limited,Delivered
ORD101453,null,Madhav Korpal,28,Female,West Bengal,Unknown,Howrah,750851,27-10-2024,27-10-2024,P704,Toothpaste,Personal Care,Personal Care,Colgate,1.72,406,323,16,6,1488,Unknown,Pending,90,4,Average,Out of Stock,Pending
ORD101878,CUST3776,Sanya Amble,56,Male,Karnataka,Bangalore,Whitefield,721385,28-06-2024,30-06-2024,P855,Apple,Fruits & Vegetables,Fruits & Vegetables,Kashmir Fresh,1.11,225,154,32,8,1232,GPAY,Pending,77,1,Late delivery,In Stock,Pending
ORD102008,CUST8202,Sanya Pathak,46,Other,Delhi,New Delhi,Saket,743128,25-07-2025,27-07-2025,P946,Cleaner,Household Items,Household Items,Lizol,1.98,540,426,21,3,1278,CASH,Delivered,14,3,Late delivery,Limited,Cancelled
ORD101297,CUST9492,Onkar De,54,Male,maharashtra,Surat,Vesu,120140,30-06-2025,30-06-2025,P537,Paneer,Dairy,Dairy,Mother Dairy,0.53,110,79,28,6,474,GOOGLE PAY,Pending,33,4,Average,Limited,Cancelled
ORD102426,CUST1532,Rachita Vaidya,78,Other,West Bengal,Kolkata,Park Street,390274,12-11-2025,14-12-2025,P330,Bread,Bakery,Bakery,Britannia,4.5,754,606,20,7,4244,UPI,Pending,49,2,Average,Out of Stock,Delivered
ORD100808,CUST1647,Tanveer Tailor,26,Female,Karnataka,Bangalore,Koramangala,799251,25-04-2024,27-04-2024,P967,Curd,Dairy,Dairy,Britannia,0.93,420,359,15,4,1515,Debit Card,Pending,29,5,Good,Limited,Cancelled
ORD102799,CUST4187,Devika Dash,77,Female,Karnataka,Mysore,VV Mohalla,112802,20-11-2024,23-11-2024,P932,Ice Cream,Frozen Food,Frozen Food,Amul,0.18,707,600,15,6,3601,GOOGLE PAY,Returned,-13,1,Average,Limited,Cancelled
ORD100213,CUST2084,Nakul Konda,69,Male,Karnataka,Mysore,Gokulam,970994,27-02-2024,02-03-2024,P447,Cake,Bakery,Bakery,Monginis,4.92,461,401,13,5,2102,CASH ON DELIVERY,Pending,53,5,Damaged item,In Stock,Delivered
ORD104521,CUST4854, Gayathri Mitter ,29,Other,Telangana,Hyderabad,Gachibowli,24514,24-04-2024,24-04-2024,P798,Paneer,Dairy,Dairy,Mother Dairy,1.21,603,380,37,1,380,GPAY,Returned,20,2,Late delivery,In Stock,Delivered
ORD103854,CUST7301,Charles Khare,50,Female,Tamil Nadu,Chennai,Anna Nagar,393298,05-05-2024,05-05-2024,P546,Frozen Peas,Frozen Food,Frozen Food,Safal,0.46,694,532,23,6,3192,CASH,Returned,71,3,Good,Out of Stock,Pending
ORD101044,null,Lekha Tandon,19,Female,Maharashtra,Unknown,Kothrud,377136,01-10-2024,10-02-2024,P715,Soft Drink,Beverages,Beverages,Coca-Cola,1.61,406,323,18,5,1488,Unknown,Pending,43,1,Average,Limited,Pending
ORD104331,CUST7777,Tanmayi Master,45,Female,West Bengal,Kolkata,Salt Lake,296895,24-07-2025,25-07-2025,P731,Soap,Personal Care,Personal Care,Dove,0.1,648,614,5,8,4912,CASH ON DELIVERY,Cancelled,71,1,Average,Limited,Pending
ORD103356,CUST9908,Kritika Dua,69,Other,Tamil Nadu,Coimbatore,RS Puram,710852,08-05-2025,08-09-2025,P240,Ice Cream,Frozen Food,Frozen Food,Amul,2.78,421,358,15,4,1431,CASH,Returned,48,4,Average,In Stock,Returned
ORD101036,CUST9757,Bhavani Karnik,51,Other,Delhi,New Delhi,Rohini,861680,19-04-2024,22-04-2024,P543,Chips,Snacks,Snacks,Lay's,0.48,106,87,18,2,174,UPI,Cancelled,78,2,Good,Out of Stock,Pending
ORD104980,CUST8730,Pranav Choudhury,35,Other,Maharashtra,Nagpur,Dharampeth,897772,16-03-2025,16-03-2025,P868,Atta,Grocery,Grocery,Aashirvaad,1.09,437,371,15,8,2965,Debit Card,Delivered,62,1,Excellent,Limited,Delivered
ORD103736,CUST5008,Darika Varughese,53,Other,Delhi,New Delhi,Saket,660771,26-04-2024,28-04-2024,P936,Shampoo,Personal Care,Personal Care,Clinic Plus,1.38,462,335,27,8,2679,CASH ON DELIVERY,Pending,12,5,Average,Out of Stock,Cancelled
ORD102694,CUST1057,Deepa Sen,71,Other,Karnataka,Mysore,Gokulam,726697,03-11-2025,11-03-2025,P661,Frozen Peas,Frozen Food,Frozen Food,Safal,1.72,458,335,27,7,2343,GOOGLE PAY,Delivered,86,1,Average,In Stock,Pending
ORD101123,CUST1704,Zansi Shah,32,Male,West Bengal,Kolkata,Park Street,646300,17-06-2024,21-06-2024,P148,Cake,Bakery,Bakery,Monginis,3.84,302,195,36,7,1363,UPI,Cancelled,90,3,Good,Limited,Cancelled
ORD103568,CUST6047,Darsh Kale,78,Female,Karnataka,Mysore,Gokulam,710355,15-07-2025,18-07-2025,P741,Ice Cream,Frozen Food,Frozen Food,Amul,2.64,660,464,30,8,3742,UPI,Pending,66,3,Excellent,In Stock,Cancelled
ORD101300,CUST9393,Gaurika Sule,46,Male,West Bengal,Kolkata,Salt Lake,801186,30-09-2024,30-09-2024,P360,Paneer,Dairy,Dairy,Mother Dairy,2.64,48,37,22,8,300,Debit Card,Cancelled,42,2,Damaged item,Out of Stock,Cancelled
ORD102912,CUST6112,Avni Ravi,66,Female,Tamil Nadu,Coimbatore,Peelamedu,976210,16-02-2025,19-02-2025,P393,Apple,Fruits & Vegetables,Fruits & Vegetables,Kashmir Fresh,1.77,336,275,18,1,275,GOOGLE PAY,Returned,44,3,Late delivery,Limited,Returned
ORD102103,CUST7507,Ekapad Sant,74,Other,West Bengal,Hyderbad,Park Street,716481,24-03-2024,24-03-2024,P706,Toothpaste,Personal Care,Personal Care,Colgate,0.17,93,70,25,1,70,Debit Card,Cancelled,83,5,Good,In Stock,Pending
ORD103409,CUST3536, Henry Venkatesh ,26,Female,West Bengal,Kolkata,Park Street,566818,07-08-2024,11-08-2024,P137,Atta,Grocery,Grocery,Aashirvaad,3.48,559,392,30,8,3132,GOOGLE PAY,Delivered,38,2,Average,Limited,Delivered
ORD104938,CUST7504,Unnati Raman,25,Other,Karnataka,Bangalore, Koramangala ,612607,27-02-2025,03-03-2025,P826,Cleaner,Household Items,Household Items,Lizol,0.62,670,541,19,5,2707,UPI,Cancelled,52,5,Average,Limited,Cancelled
ORD100591,CUST7848,Azaan Halder,50,Male,Karnataka,Bangalore,Indiranagar,361371,17-10-2024,17-10-2024,P434,Sugar,Grocery,Grocery,Madhur,1.13,685,593,13,7,4151,GPAY,Pending,59,2,Good,In Stock,Delivered
ORD102651,CUST5563,Oliver Bhatti,33,Other,West Bengal,Kolkata,Howrah,573724,12-09-2025,12-09-2025,P374,Paneer,Dairy,Dairy,Mother Dairy,3.1,719,617,14,5,3084,CASH,Delivered,82,3,Damaged item,In Stock,Cancelled
ORD100331,CUST8354,Nilima Din,48,Female,maharashtra,Hyderabad,Banjara Hills,701640,14-12-2025,17-12-2025,P859,Toothpaste,Personal Care,Personal Care,Colgate,1.24,279,238,15,3,715,CASH,Delivered,10,1,Average,In Stock,Cancelled
ORD101470,CUST4339, Hitesh Doshi ,18,Male,Karnataka,Mysore,VV Mohalla,995207,16-05-2024,17-05-2024,P684,Ice Cream,Frozen Food,Frozen Food,Amul,4.14,754,493,35,1,493,Debit Card,Returned,57,4,Average,Limited,Delivered
ORD103334,CUST9411,Krishna Tandon,80,Male,Maharashtra,Pune,Kothrud,367863,22-03-2025,25-03-2025,P812,Chips,Snacks,Snacks,Lay's,1.94,153,118,23,4,474,CASH ON DELIVERY,Returned,44,1,Late delivery,Out of Stock,Returned
ORD102504,CUST7304,Tanveer Chowdhury,70,Other,Karnataka,Mysore,Gokulam,771952,31-12-2024,31-12-2024,P447,Tomato,Fruits & Vegetables,Fruits & Vegetables,Organic India,0.42,452,372,18,2,745,UPI,Returned,33,5,Average,Limited,Delivered
ORD100281,CUST7592,Shivansh Grover,72,Female,Telangana,Hyderabad,Banjara Hills,394629,09-08-2025,09-11-2025,P257,Apple,Fruits & Vegetables,Fruits & Vegetables,Kashmir Fresh,0.69,331,222,33,2,444,GPAY,Returned,57,3,Average,Limited,Pending
ORD103519,CUST9114,Eshana Magar,24,Other,West Bengal,Kolkata,Salt Lake,446737,11-12-2024,14-11-2024,P523,Shampoo,Personal Care,Personal Care, Clinic Plus ,4.62,458,329,28,1,329,GPAY,Returned,727,1,Good,Out of Stock,Cancelled
ORD104334,CUST1329,Amruta Ganguly,52,Other,Karnataka,Bangalore,Koramangala,509331,31-01-2024,01-02-2024,P886,Namkeen,Snacks,Snacks,Haldiram,2.89,608,495,19,2,991,Debit Card,Delivered,20,2,Late delivery,Limited,Cancelled
ORD104809,CUST4290,Radha Lata,24,Female,Gujarat,Ahmedabad,Satellite,147452,01-02-2024,01-02-2024,P440,Tea,Beverages,Beverages,Tata Tea,0.47,554,441,20,8,3527,CASH,Returned,55,3,Excellent,Out of Stock,Returned
ORD101773,CUST3419,Xiti Patel,40,Other,Tamil Nadu,Mumbai,VV Mohalla,332225,29-09-2025,30-09-2025,P609,Namkeen,Snacks,Snacks,Haldiram,1.92,131,125,4,7,877,Debit Card,Cancelled,56,4,Average,Limited,Pending
ORD103386,CUST5405,Bhavani Suri,77,Male,Maharashtra,Nagpur,Dharampeth,163201,20-11-2025,24-11-2025,P649,Banana,Fruits & Vegetables,Fruits & Vegetables,FreshFarm,2.86,302,199,34,1,199,UPI,Delivered,45,4,Late delivery,In Stock,Returned
ORD100569,CUST1654,Waida Jayaraman,75,Female,Tamil Nadu,Coimbatore,RS Puram,357798,17-06-2025,19-06-2025,P387,Sugar,Grocery,Grocery, Madhur ,2.38,623,482,23,8,3853,Debit Card,Cancelled,90,5,Average,Out of Stock,Cancelled
ORD100521,CUST1903,Champak Joshi,42,Other,Karnataka,Mysore, VV Mohalla ,233750,12-03-2025,15-03-2025,P191,Tea,Beverages,Beverages,Tata Tea,1.6,314,250,20,7,1751,CASH,Pending,44,3,Average,In Stock,Delivered
ORD100811,CUST1575,Jonathan Parsa,21,Male,Maharashtra,Pune,Baner,980679,04-11-2024,14-04-2024,P898,Ice Cream,Frozen Food,Frozen Food,Amul,3.98,59,36,40,4,143,GPAY,Returned,27,2,Good,Limited,Cancelled
ORD101073,CUST6875,Ekaja Gulati,29,Female,maharashtra,Hyderabad, Banjara Hills ,765439,12-06-2025,15-06-2025,P561,Namkeen,Snacks,Snacks,Haldiram,4.78,649,401,38,1,401,GPAY,Cancelled,61,3,Average,In Stock,Cancelled
ORD101204,CUST7710,Raghav Bala,76,Other,Karnataka,Bangalore, Whitefield ,895837,24-06-2025,26-06-2025,P822,Biscuits,Snacks,Snacks,Parle,0.75,393,274,30,5,1370,UPI,Delivered,54,1,Average,Out of Stock,Cancelled
ORD101032,CUST8488,Nathan Chad,31,Female,Gujarat,Ahmedabad,Navrangpura,387502,24-01-2025,24-01-2025,P405,Tea,Beverages,Beverages,Tata Tea,0.95,252,190,24,5,952,CASH ON DELIVERY,Delivered,1,2,Excellent,Limited,Pending
ORD104325,CUST2934,Ishwar Ganesan,80,Other,Tamil Nadu,Coimbatore,Peelamedu,266657,28-08-2025,30-08-2025,P604,Shampoo,Personal Care,Personal Care, Clinic Plus ,2.54,778,722,7,2,1445,CASH,Delivered,86,3,Damaged item,Out of Stock,Returned
ORD103010,CUST9556, Vincent Kothari ,77,Female,Karnataka,Mysore,VV Mohalla,64662,27-05-2025,29-05-2025,P636,Namkeen,Snacks,Snacks,Haldiram,2.14,677,540,20,6,3238,CASH,Pending,8,2,Damaged item,In Stock,Returned
ORD101365,CUST9139,Ekapad Tailor,66,Other,Gujarat,Ahmedabad,Navrangpura,705876,12-10-2025,13-12-2025,P602,Soap,Personal Care,Personal Care,Dove,2.18,532,424,20,3,1271,CASH ON DELIVERY,Returned,79,1,Late delivery,Limited,Returned
ORD104144,CUST9045,Lucky Hayre,38,Male,Telangana,Hyderabad,Gachibowli,277204,21-12-2025,22-12-2025,P277,Frozen Peas,Frozen Food,Frozen Food,Safal,2.95,477,373,22,1,373,Debit Card,Returned,89,2,Late delivery,Limited,Pending
ORD104755,CUST5633,Saanvi Sangha,64,Female,Gujarat,Ahmedabad,Navrangpura,202116,14-01-2024,15-01-2024,P147,Cleaner,Household Items,Household Items,Lizol,1.29,684,546,20,4,2185,Debit Card,Delivered,85,1,Average,Limited,Cancelled
